Date,Tweets,clean,neg,neu,pos,compound,
1-Nov-18,#HEROMOTOCO CASH : LOOKS GOOD ABOE 2805 ,heromotoco cash look good aboe,0,0.58,0.42,0.4404,
1-Nov-18,"#MARUTI CASH
01 NOV 2018

LOOKS GOOD ABOVE 6740.1

STOPLOSS 6710

TARGET 6780/6840/6900

CMP 6702",maruti nov good,0,0.408,0.592,0.4404,
1-Nov-18,"#Maruti sold 1.5lk units valuation at 2lk cr vs #TAMO sold 0.58lk units valuation at 60k cr... If you go down to DVR, another 45% discount and then JLR is top up",maruti sell unit valuation cr tamo sell unit valuation cr go dvr another discount jlr top,0,0.893,0.107,0.2023,
1-Nov-18,"#Tata motors delivered growth of 11% when sector has achieved growth of 2%. Domestic biz will remain robust, #Harrier will add next leg of growth in next year.. Currently Tata motor DVR trading cheaper than #AshokLeyland",tata motor deliver growth sector achieve growth domestic biz remain robust harrier add next leg growth next year currently tata motor dvr trading cheap ashokleyland,0,0.673,0.327,0.8481,
1-Nov-18,"Festive celebrations eluded #autoindustry in October with major co's such as #MarutiSuzuki, #Hyundai, #Mahindra & #Toyota on Thursday reporting low single-digit sales growth for month owing to weak market sentiment due to high #fuelprices & #interestrates",festive celebration elude autoindustry october major co's marutisuzuki hyundai mahindra toyota thursday report low single-digit sale growth month owe weak market sentiment due high fuelprices interestrates,0.153,0.675,0.172,0.1531,
1-Nov-18,#TVSMotor: Total Sales Up 26% At 3.98 Lk Units Vs 3.17 Lk Units YoY; 2-wheeler sales Up 25% At 3.84 Lk Units Vs 3.08 Lk Units YoY,tvsmotor total sale lk unit vs lk unit yoy sale lk unit vs lk unit yoy,0,1,0,0,
1-Nov-18,"#EicherMotors' RE Oct sales Largely Flat- Rises +1.4% YoY but Falls -1.7% MoM at 70451 units.

Nos are getting Stagnated but consistent around 70K - Enfield waiting period down (less than 1 month), Supply is now aligning with demand.

TTM PE 29x

Likely worst is not over yet","eichermotors oct sale largely flat rise yoy fall mom units.

nos get stagnate consistent around enfield wait period le month supply align demand.

ttm pe bad yet",0.167,0.833,0,-0.6124,
1-Nov-18,#JLR drags #TaMo #earnings ;#AshokLeyland sales rise in Oct;#Maruti lags,jlr drag tamo earnings ashokleyland sale rise oct;#maruti lag,0.381,0.619,0,-0.5106,
1-Nov-18,"Investment call #TataMotors on fire now at 186 from 168
When All Are Panic I Am Sure...
Nobody Touching This Stock...
Now Everyone will Run After it…","investment call tatamotors fire panic sure...
nobody touch stock...
now everyone run it…",0.341,0.659,0,-0.6908,
1-Nov-18,"Irrespective of whatever numbers #Ashokleyland gives, stock is pulled down always. Expect high, nothing wrong with it. But, when they are good enough, we need to learn to appreciate them. It might not have met 31.6% qtrly growth (lower MHCV sales), but still...6mth growth at 33%.",irrespective whatever number ashokleyland give stock pull always expect high nothing wrong good enough need learn appreciate might meet qtrly growth lower mhcv sale growth,0.134,0.524,0.342,0.7309,0.10014
2-Nov-18,"TOP GAINERS 
#VEDL #Maruti #BPCL #Tatamotors ","top gainer 
#vedl maruti bpcl tatamotors",0,0.735,0.265,0.2023,
2-Nov-18,"This stock is #MARUTI CMP 7070 
ABOVE 6905 its good to buy we can see 7600 soon","stock maruti cmp 
above good buy see soon",0,0.707,0.293,0.4404,
2-Nov-18,Bajaj Auto Limited posts highest ever domestic sales in its history during Oct 2018,bajaj auto limit post high ever domestic sale history oct,0,1,0,0,
2-Nov-18,"If trade deal agreement between China USA is successful then good jump in global auto companies is on the cards.
#TATAMOTORS will lead the race.
#MOTHERSUMI too","trade deal agreement china usa successful good jump global auto company cards.
#tatamotors lead race.
#mothersumi",0,0.568,0.432,0.872,
2-Nov-18,Yesterday told u... Buy Buy In tonsssssss #Maruti Future @ 6590 With Sl- 6490 CLBS Target- 7000___7200 & Buy maruti 7000ce @ 118...... Till now 7059.... yes 5% UP in 2 days !!!,yesterday tell buy buy tonsssssss maruti future sl clbs target buy maruti till yes day,0,0.838,0.162,0.4019,
2-Nov-18,"DAFS HNI Point Plan #FUTURE: BUY #MOTHERSUMI AT 165 TARGET 168.5-172 SL 161.4
OUR #SECOND TGT 172 ACHIEVED IN MOTHERSUM BUY CALL BOOK FULL #PROFIT ",dafs hni point plan future buy mothersumi target sl second tgt achieve mothersum buy call book full profit,0,0.854,0.146,0.4404,
2-Nov-18,#Heromotoco has survived 2670 on closing basis. Now back to reasonably good momentum to 2900+,heromotoco survive close basis back reasonably good momentum,0,0.707,0.293,0.4404,
2-Nov-18,#maruti Worst seems to be over. Sales growth may pick up in coming months after flat sales growth in Q2. Decent correction in stock price 35% from peak makes it attractive at current levels for long term. Technical indicators are also turning bullish. +ve RSI divergence,maruti bad seem sale growth may pick come month flat sale growth decent correction stock price peak make attractive current level long term technical indicator also turn bullish rsi divergence,0.093,0.691,0.215,0.5574,
2-Nov-18,"#ApolloTyre from 212 to 226, all tgt done now with solid 6.5% or 42,000 per lot gain, Book out full profits.",apollotyre tgt solid per lot gain book full profit,0,0.432,0.568,0.7845,
2-Nov-18,"Ashok Leyland sales up 17% at 15,149 units in October   ",ashok leyland sale unit october,0,1,0,0,0.41393
3-Nov-18,"Weak retail #demand for #automobiles in Festive period to lead to excess #inventory & likely decreased #production at plants.Companies like #Maruti+dealers are offering huge discounts,savings but the demand is dampened by higher interest rates,#fuel prices","weak retail demand automobile festive period lead excess inventory likely decrease production plants.companies like maruti+dealers offer huge discounts,savings demand dampen high interest rates,#fuel price",0.175,0.504,0.32,0.7096,
3-Nov-18,"#BOSCHLTD - an inverted H&S formation is completed

Last 2 sessions saw price decline on decent volumes. 

As long as the price stays above the neckline at 19199.75, the pattern will be valid.","boschltd invert h&s formation completed

last session saw price decline decent volume 

as long price stay neckline pattern valid",0,1,0,0,
3-Nov-18,MARUTI BOTTOM REVERSAL AND POSITIVE DIVERGENCE,maruti bottom reversal positive divergence,0,0.526,0.474,0.5574,
3-Nov-18,"#NiftyAuto Looks Bullish Next week.
We can see 10000 Level upcoming days…","niftyauto look bullish next week.
we see level upcoming days…",0,1,0,0,
3-Nov-18,"#TATAMOTORS
Expecting some rally in the near term.","tatamotors
expecting rally near term",0,1,0,0,
3-Nov-18,"#MOTHERSUMI
CHART SUGGESTS MORE UPSIDE. SAFE BUY ABOVE 187.","mothersumi
chart suggest upside safe buy",0,0.633,0.367,0.4404,
3-Nov-18,#MOTHERSUMI - MOTHER SUMI  DOUBLE BOTTOM,mothersumi mother sumi double bottom,0,1,0,0,
3-Nov-18,#maruti - target almost achieved...above manage to close above 7340 it can give good rally,maruti target almost achieved...above manage close give good rally,0,0.734,0.266,0.4404,
3-Nov-18,#MOTHERSUMI - Long,mothersumi long,0,1,0,0,0.238644444
